location,online_order,name
BTM,0,1763
BTM,1,3293
Banashankari,0,397
Banashankari,1,505
Banaswadi,0,302
Banaswadi,1,338
Bannerghatta Road,0,685
Bannerghatta Road,1,924
Basavanagudi,0,243
Basavanagudi,1,441
Bellandur,0,517
Bellandur,1,751
Brigade Road,0,552
Brigade Road,1,658
Brookefield,0,239
Brookefield,1,417
Church Street,0,226
Church Street,1,340
Commercial Street,0,228
Commercial Street,1,142
Cunningham Road,0,168
Cunningham Road,1,322
Domlur,0,247
Domlur,1,235
Ejipura,0,214
Ejipura,1,219
Electronic City,0,676
Electronic City,1,570
Frazer Town,0,287
Frazer Town,1,427
HSR,0,584
HSR,1,1910
Indiranagar,0,697
Indiranagar,1,1329
JP Nagar,0,911
JP Nagar,1,1307
Jayanagar,0,552
Jayanagar,1,1364
Kalyan Nagar,0,350
Kalyan Nagar,1,491
Kammanahalli,0,264
Kammanahalli,1,375
Koramangala 1st Block,0,384
Koramangala 1st Block,1,852
Koramangala 4th Block,0,459
Koramangala 4th Block,1,558
Koramangala 5th Block,0,866
Koramangala 5th Block,1,1613
Koramangala 6th Block,0,445
Koramangala 6th Block,1,682
Koramangala 7th Block,0,389
Koramangala 7th Block,1,785
Lavelle Road,0,315
Lavelle Road,1,203
MG Road,0,520
MG Road,1,373
Malleshwaram,0,309
Malleshwaram,1,412
Marathahalli,0,701
Marathahalli,1,1104
New BEL Road,0,255
New BEL Road,1,389
Old Airport Road,0,221
Old Airport Road,1,216
Rajajinagar,0,286
Rajajinagar,1,305
Residency Road,0,424
Residency Road,1,247
Richmond Road,0,557
Richmond Road,1,246
Sarjapur Road,0,323
Sarjapur Road,1,724
Shanti Nagar,0,289
Shanti Nagar,1,219
Shivajinagar,0,354
Shivajinagar,1,144
St. Marks Road,0,176
St. Marks Road,1,167
Ulsoor,0,389
Ulsoor,1,622
Whitefield,0,986
Whitefield,1,1119
others,0,2064
others,1,2890
